text	sentiment_score
Right and the Indians could prey on that because they could just say well we'll keep them. He's a perennial All-Star will keep him for two years. We don't have to trade him to you but along those lines I'm also Thinking it's only a matter of time before another team gets in the mix or is leaked to be in the mix because that just drives it up even more. You know, if the Dodgers insist they don't want to include Gavin Lux. Well, then the Indians can leak to someone and say hey we've talked to the Atlanta Braves or the Cincinnati Reds or another team about a Lindor trade and and then maybe the Dodgers get a little more desperate. But you know, I also think having just I'm Just going to completely debunk everything. I just said I also think front office's don't fall for that stuff the way we all do media fans the public, you know, I think they have a pretty good grasp of what's really going on. And yes, they do pay attention to trade rumors and and National reporters and whatnot. But you know that they use that to check on things to get what the legitimate scoop is and not necessarily what's out there. So it's going to be interesting. You're right. You know how desperate to the Dodgers get do they really feel like Gavin Lux can be as good as Francisco Lindor and more importantly do they feel like he can be as good as Lindor right now. I don't know but I mean you look up and down that roster and there's like 15 to 20 guys. I'd have interest in if I was if I were the Indians, I mean, there are so many directions they could go but you probably need Lux in the deal to feel comfortable because this isn't just this isn't just like Find the best match and let's do it. This is overwhelm us enough that we feel comfortable going to ownership and convincing them to sell their franchise face of the franchise and you know, probably sacrifice some season ticket sales and some fan sentiment knowing that hey you might be a better team and you'll certainly be a better team long-term Beyond 20/20 one. But like this is going to sting even if you get a really good return even if you quote unquote win the The trade and all the people who love to get a handout letter grades 10 seconds after a trade happens for some reason, you know, you're even if you win those and you get an A-Plus like it's still going to hurt at the Ballpark at in the ticket office. So you're going to have to be overwhelmed. That's why I think Lux probably has to be in the deal no matter what even if you to a mean like in a vacuum like Dustin may + Alex Verdugo + Chris Taylor plus Joc Pederson Plus Like Max Muncie is an amazing Hall. But like I still think I still think it's got to be Luxe. I still think you need that Marquee slam-dunk piece. And I think especially Indians fans by now are probably saying it's got to be Luxor.	1.0
The thing the thing there is like the really are honing the skill first right prioritizing the movements before the intensity. So that's the first thing that I really learn going there. And how was the atmosphere there? Well, yeah, it's because well, I thought that Community feeling mostly in San Francisco because that there's where I spend the most time. Okay.	1.0
I learned all this stuff about vibration and I'm going to use it.	1.0
I'm like one of my worst by the way, that's a phobia. I also share. Yeah. I've never been close to a shark Whatever by Justice Zoom in when I get in the ocean, I'm just always terrified.	-1.0
Thank you.	1.0
Yeah. She is honestly just The best dance mom ever she's taking care of me since I was nine years old and just directed me and in anything and everything and just wanted me to try everything and succeed in life. So basically she was my go-to and being that were really close with each other you were in the orbit of like are exact. Yeah my Derek Mark really like always bumping into each other and Mark I'm closer to but yeah before World of Dance, we don't really know each other so fascinating.	1.0
So it's true. It's true which one of the reasons we need more patreon so I can get out from under Pete's thumb.	1.0
Well, yeah and it's I was trying to explain this to my husband a little bit because he he's German he comes from a very like we don't talk about her feelings kind of family. And so For him anxiety is its he doesn't really understand kind of how it is. And it's like it's almost like you have like a trillion things just coming at you all the time all the time all the time and you have to figure out which ones are like real and which ones are trying to trick you and especially when you throw in like a little bit of like depression your brain is like go go go go go go go, but then the depression is like Buddha can't	-1.0
It was my 9 year old diaper Genies the same one your you told your youngest one is 4 5 now we 3 3.	0.0
Awesome.	1.0
What was it like working with him?	0.0
Let's move on to a bedroom that you're responsible for.	1.0
The bull side of things for you guys. How many how many murders do you you guys breed a year?	-1.0
No, I smelled a gas leak so I didn't turn it on. I was like you should have turned it.	1.0
So it's it's safe.	1.0
Going to get to Roma no stab you like Gladiators in the Colosseum.	-1.0
I mean if you look at we have all the only principle we have to compare to us, mr. Wetherby who started off his out of rice and like Okay, but then he got sucked into the farm.	-1.0
Okay, so we covered two things in the meta first was that there was a lot of guard plane and a lot of the really successful competitors were guard players, but they were many successful top players to I don't mean to exclude them second as far as positions that we saw a lot of we saw a lot of half guard and Butterfly guard particularly from like lockers I should mention I didn't plan to mention this but we did see tons of inversions all weekend long. And what was interesting about the inversions and tells you that it's very clearly a part of the meta was that different styles of jujitsu were doing inversion. So we saw a Geo Martinez the 10th plant style both him and Elvira and Thor were all doing in versions. But then we also saw of course Paulo me out doing invert attacks. I think we saw Kennedy doing invert inversion attacks and some of the female competitors were I'm them too. And they all had kind of different purposes for doing them. Who was the guy that beat a Luca slippery. I have to check because I'm going to be people are gonna be mad if I forget his name, okay, it was Dante Leone. He maybe had the upset of the tournament. He beat Luca slippery and he did it with inversions. But his were more sort of traditional backed a conversions and I think he took Luke. He definitely took Lucas's back once he might have taken it twice, but he just had some bro. Inversions that he was working in a couple of his matches. So what that tells you is that inversions are useful for different competitors with different sort of game plans and strengths and weaknesses. So it's something to look into if you're playing more of an open guard game particularly. If you're like Locker another Trend that I noticed this weekend was how important the back attack was and what I notice in this is again something that as I was watching it. I kind of like asteroid like hey, are you seeing this a lot? Lot the last couple days, which is that competitors were really not interested in being in the mounts and they were very not interested in being in side control. I really shallow side control for more than a couple seconds 80cc. You didn't see a whole lot of guys working attacks from the mount everyone wanted the back to the point where a lot of people would not even pass card. They would they would try to attack the back straight from inside people's guard. That's where kind of law the inversions came along. And also what you saw when people hit takedowns is they would go straight from a takedown and they would try to get to the back within you know, as fast as they could they weren't interested in doing those traditional pit stops that a lot of you know blue and purple belts would do which is you know, stop at side control, you know, take a second consolidate your win and your points and then go to the next thing and then go to the next thing these guys wanted to go straight there. Now, this could just be kind of in a DCC thing. Thing again because of the to shoulder rule which is that you saw a lot of competitors that they were trying to keep their shoulders off the mat and in doing so maybe they expose their back and it's also possible that at this really high level a lot of people have figured out that it's just almost impossible to pass some of these guys and girls guards. So it's better for them to just try to attack leg locks and kind of chain that with taking the back interesting thing is that Keenan Cornelius did a podcast in the summer. On Flow grappling and he kind of predicted this he said that in this was, you know way before atcc and he said the way noogie grappling is shaping up right now. I think that passing the guard is going to become less and less important because people are just going to be attacking leg locks from the garden if that doesn't work. They're going to tries to go straight for back takes and I definitely felt like that was happening at a TCC. Also worth noting that the rear naked choke was the top finisher 80cc again. I think I'm going from memory. I think there were 35 submissions and nine of those were rear naked choke 6. While we're on the subject of numbers, which is one of our favorite things at high percentage. I think the order of submissions was rnc's was the first heel hooks where the second and then the third was Guillotines and I was actually was very pleased to see this because this really matches up with a lot of the data that we've collected we've shown that in noogie matches the top-performing submissions across all belt levels are rear naked choke so Guillotines armbars and Now atcc heel hooks are a hundred percent legal. So they're going to be much more represented. Some of the research that we've done has been across different formats where different kinds of leg locks were not always legal. So when you're at the high level basically if you hooks your legal, they're going to be very well represented. But you know, we also showed that Guillotines were really high percentage at the noogie level, even though in the ghee we have other data that shows that there are very very low percentage. And the last thing that was very much on meta that we saw at a TCC was bodylock takedowns. So this is really interesting because body luck takedowns in the data that we've done at high percentage are not really anything special most people get better results from single legs sacrifice throws or just leg trips. So I don't think bodylock takedowns is necessarily going to translate to other formats, but A TCC a great example. This was JT Torres, which is that there were other competitors and I saw this throughout the weekend that we're trying to get single legs. But because you had to get both shoulders on the mat if you just kind of visualize in your head what a single leg looks at, its your entire body versus one of their legs. That's the kind of Jiu-Jitsu aspect of it. But really that's only good for kind of getting there. But down on the mat. There's you are not going to have upper body control. You have to let go of the leg and sort of All up and we definitely saw that atcc. So the competitors that had a lot of success were people that were doing bodylock takedowns or we're doing that kind of like double Leg Takedown where you know you land right on their on their diaphragm on their chest and then you effectively have upper body control and those takedowns in my experience are pretty Advanced take down. So, you know, you saw that there were some really good wrestlers like JT Torres that could pull those off. then everyone else I think just wisely made the calculation that hey why why I'll just I'll get in the guard and I'll try to work my game and get in a good position in the first half of the match and then if not, you know, we'll see what happens in overtime kind of thing now to kind of circle back to the question that was poised at the beginning of the podcast which is our leg locks still essentially The Meta kind of front and center and I would say yes for the time being they are we saw a lot of heel hook finishes. Some people commented that there were not as many leg locks is there were was in a TCC 2017 and if you look at the breakdown of the heel hooks, actually a lot of them happened in the absolute Division and a lot of them happens because of Lockland and getting I think he got like four leglock finishes three or four in his absolute run and that without him maybe the statistics would have kind of evened out a little bit. However, I would say he's not an anomaly because he He's able to go in there and make really good use of that skill set. One thing that I saw in a TCC is that I I felt like there was a clear distinction between the new school leg locking crew. That was at a TCC and some of the old school and old schools Probably sounds more pejorative than I mean it to be but we see this all the time in our gyms at home, which is there are some students and there. In some cases entire gyms that they just don't do the leg lock thing and maybe they learned defenses to it, but it's just not part of their repertoire. Some of it is, you know, the tradition and the history of it that some people just don't really believe in it may be an old school mentality kind of thing. But I definitely saw that ACC there was even a moment and this was a moment that was almost a metaphor for the entire thing. I'm talking about which is buchecha versus Gordon Ryan and Gordon Ryan. Was you know working his game and buchecha of course is a legendary competitor and he's known for having a pretty fundamental old school game. I think it's safe to say and there was a moment where buchecha was not faring. Well, I think he was down on points and he actually sat down for a leg attack and Gordon openly laughed at him and then buchecha started laughing in the middle of the match and then the entire audience tonal was chuckling for a Moment and the joke was is that you know buchecha would just he's not the guy that drops back for leg locks and I don't know why he did that. Maybe it was a desperation because he was down on points or something like that.	1.0
We're a married couple living in Southwest Florida right now, I'm from Wisconsin.	1.0
If you look at them in isolation, we should win both of those games, but it's Wolves and it's in a series of games and I think if we took four points would be pretty up.	1.0
I thought you saw that I thought it was aimed at me because I shaved it. I showed earlier and then at that moment he turned around. He's got the time that Jamie carragher offered you well in the very bad did happen go tell everyone about no, I've already mentioned it. You don't find it and then you can excite bow and Paul Gladden as well.	1.0
I'll put half vinegar and half Dawn dish soap in there or whatever dish detergent. Does it really matter the brand I don't think and then you can actually clean the bathtub and shower while you're bathing or showering, you know, just white vinegar and a mild dish detergent dish soap.	0.0
Like I just turn around she's right there and I'm like, oh my God, I don't know how that what do I do with my hands? Like I was like literally I was like, okay, I have to go talk to her. So Josh is freaking out obviously because he doesn't know who's his celeb is going to be it. I'm like Pasha we need to go say hi to her and I obviously like hugged her like a crazy fangirl, but it's okay. She still loves me.	1.0
If you haven't heard about anchor it's the easiest way to make a podcast. Let me explain it's free. There's creation tools that allow you to record and edit your path straight from your phone or computer anchor will distribute your podcast for you. So it can be heard on Spotify Apple podcasts and many more you can make money from your podcast with no minimum listenership. It's everything you need to make a podcast in one place. Download the free anchor app or go to Anchor dot. F m-- to get started. That's a n CH o r dot f m-- to get started. Thank you. Hi, I'm Taylor and I'm Andrea. Welcome to not or nine to five happy episode three guys. So three. I know we made it cheers to that.	0.0
Okay.	0.0
Ball stuff was those did you shoot that yourself? I mean it was that you doing that some of it some of it.	1.0
I had some sort of leg effect on the fandom or like some sort of power that I had what else I do have a question how involved were you when it came to stare at campaign and sitting in Clinton that whole thing. Were you kind of cool with them at some point or was it always kind of standoffish?	1.0
Yeah exactly and it's funny because well everyone. All it like everyone will know that it's hot Drop. Everyone will drop on the sides and they'll all run into the middle to fight. Yep. So, you know, all 20 boxes will be right in the middle pretty much. Yeah, you can just literally take us like side step to the next death box and help yourself.	1.0
I can I can do that just because it's off my recording for my voice but you guys can't because it's going to like for you guys so that's what that's gonna be in the corny, but that's okay. So we spent about like 13 minutes on this topic. Would you guys like to move on to the next topic? You can finish what you you can finish your thing? Might as well.	-1.0
Yeah, really set it off in this at the start. But yeah, I've known Carly say what happens at the end. Yeah, but again, I didn't check my watch for the whole race or just going off the splits and so still getting a lot better at running it as a race. Yeah, but yes, I'm just happened to that last Caleb. I lost it and get kind of fell apart towards the end.	-1.0
Ye Ye men and yang you gotta find the yin to your yang y'all especially when it comes to nudes because when you take group nudes there's always one or well when there's three of you there's like one or two people that have like, you know things that are better like Jaclyn and Meg have really great boobs, my boobs aren't the best so we took like boob shots and I'm like I love these then we took a shots and it's like I showed you guys how to pop it lock and drop it because I don't Y'all bucks looked amazing preciate you have to like find the into your yang in a nude. Yes, you know coordinate coordinate. Yeah, how do you feel about like male nudes? Like how do you feel about dick pics? I am good.	1.0
So were they in the ground?	0.0
It's just it's not a place that a lot of people go to I don't I don't and I don't know why I think maybe it's the mentality the mentality is they see the water and they think it slows him down and it does to a certain degree because like you can't slide but it doesn't actually like physically slow you down. And maybe that's what maybe it's just this mental thing where they're like, oh, I'm going to be sloshing through the water. It's like not really I mean even some of like the tree houses because they have boxes up there to even some of the tree houses. You can get some really good loot out of there.	1.0
Like I said the full feed deal then then but in the matter of a couple of weeks to recover to you know, you got they got to dry up and then they and then you gotta kind of exercise going to get them in shape a little bit to you can't you can't just you don't want to just take them in there with you know with a big bag full of milk. They'll be you. Do that to him. You gotta let him dry up. Like I said and get their belly kind of shrunk back into shape and just kind of get them back into shape. And you know, it'd be no different than your saddle horse you if you need to get some work done on your saddle horse. You don't just let him stand out six months and then just go get on pounding back into very good. He'll probably just tie up on you, you know, so so a couple couple more horse questions for we dabble in the	-1.0
And so that's what stop trying to put a round Peg. Us into a square hole, you know when that was a big thing with everyone all of the couples that I spoke to they all said we spoke the vision. We made it clear. Hey, this is the guy especially hey, this is what I'm called to do. Are you willing to go with me? I'm not trying to like, oh this one. I think it can work. I was in a personally I was in a relationship back in the day that I was like trying to figure it out like oh, you know, this person's not exactly what I thought when I mentioned Ministry, they like froze like a deer in headlights, but I think we could make it work, you know like Like you need it if you're called to go into full-time Ministry. You shouldn't be looking for someone who's like who doesn't wanna have anything to do with it. I just want to stay home with the kids someone who's like I've talked about before someone who's like working for the weekend, you know, I just love to travel. I love going on vacation. You need someone who's like willing to work like there's a mission at hand. Adam didn't get Eve so she could like spend all his money and take them on vacation. So you could take on vacation like there needs to be a purpose behind your marriage. Even if it isn't Ministry if it's like, hey, we're We're Kingdom Minded people and that's the whole purpose of this podcast is like get you to be Kingdom Minded like your life isn't get an education get a good job retire at 65 and enjoy life as much as you can. That's not the gospel. The gospel isn't enjoy life. The gospel is take up your cross and follow Jesus like your life on this Earth, you're gaining treasure in heaven. You're going to spend eternity and treasure and maybe if you're lucky a hundred years on this earth like at a hundred and eight years at I tried hundred and twenty years at Max but our life here on Earth is is short. This is a time of sowing and reaping for eternity that you are making choices now. And so your marriage should be geared in that direction. We one of the things that was said and I'll go over some of the Practical boundaries, but they said that they didn't want to be always on the defensive so they had clear boundaries. Hey, we're not going in the house together by ourselves. We're never going the bedroom together. Even if there are people in the house there were some practical things. You know, I think I think you shouldn't be making out with somebody like full-on like making out with somebody before you're married. I think you know, it's crazy. It's 2019. It's normal in this day and age even by Christian standards like it's cool to fool around a little bit like but draw the line for yourselves everyone that I talk to and these are people that I look at and say they have a they have a good marriage. They all said, you know, we had clear lines and if any of them said hey, what do you if you could do things differently it was hey, I wish we had drawn more. Clear lines. I wish it had been clear. I wish we would have I wish we would have I was I wish the boundaries would have been better. No one said, you know, I think our boundaries were too strict.	-1.0
But sometimes I do that in the master bedroom and then you know, maybe you need to delegate some chores in your kid's room.	0.0
Oh never. Oh, okay. Tardy. I didn't get enough tardies to get me to the principal's office.	-1.0
Okay. So I want to do some would you rather questions are we have time it's halfway about through our podcast maybe a little longer.	0.0
I was just holding it in ordering my food. I didn't realize the cap was off it and that I was drawing all over the counter.	-1.0
So I just you know, that was just one of our chores was to organize.	0.0
So I I'm all for it. But I swear if he starts talking about right something else. I'm out. Yeah. No, I'm a very had the courage to come all I don't want to say anything that would offend anybody. But yeah, I mean good for him as long as he's happy that their else that's really old is I don't really care that he's gay like I like I don't really care. I don't really care like I'm still gonna listen to his music but like I'm saying if he starts rapping about like some fruity stuff like Yeah, that's gonna change his fan base is gonna look like very lot of like little 12 year old like little little like kids that listen to his music because their parents are not going to let them listen to that kind of stuff.	-1.0
Yes and coming out to knock out Isis. It's like being really really drunk.	1.0
Years, like - teacher is going to look at and be like, oh my gosh, you're right.	1.0
I think the thing is people drop it into fasten or too much oil and overflows and what's actually causing the fires and hits the The Browns the thing on top and bottom burner the burner. Thank you as firefighters is actually their official name.	-1.0
No, I'm no better or worse than anyone else. But that's why I keep saying like don't be afraid to have a real conversation with an atheist or like someone outside of your belief system. They can't you know stand firm in your beliefs. Don't be scared. And if there's something that scares you then dive in deeper like yeah, it's scared me when I read, you know, women need to be silent at church. That was one of my really defining moments where I shut the Bible and looked up at God and just was like yo, Yeah, what like I was like so beside myself about that. I was like just like I've been honoring you all of these years and I'm made to like sit here and read that like, what does that mean? And it did not shake my faith. It didn't turn me away from God instead. It caused me to be more intellectual about my faith to be more curious about the history of it and I'm far from knowing everything but like People should be inspired to be intellectual not scared of it.	1.0
Anyway. All right, Matt. Do you remember the game all yeah, it was it was it was really frustrating in I think it was one of those those games that we've seen previously where we did. I think we would have played or not and not scored or just never look like leave. Again, it came in the 92nd 93rd minute. Yeah, 12 minutes and I'm very very very light is the Fantastic header. What a late that was the other similar chance today against Sheffield United worries a lot of standing jump or not jump Center off. It's a great leap. And yeah, it was good obviously very important to get the three points now that now that we've qualified so that's all that really matters isn't it rather than the performance the trailer I put the ball in for?	1.0
No, I was ready for Valentina. And that part I was like sorry Michelle.	-1.0
He's got a nice bod ounces. Yeah, it work.	1.0
Yeah, it made a huge difference because I go and see most of the dance shows and Los Angeles is almost always one of the last tour dates.	1.0
I'm like a battered girl and I'm just like, why do I love you? Because I mean like in general like Battlefield. That's the only reasonable not only reason I mean, there's plenty of reasons, but that's like one of the only reasons I didn't buy Battlefield 5 is the fact that EA has Been doing some really questionable things in the past. And I mean, I tried the beta out for Battlefield 5 and it was very much like okay, this is more Battlefield and it wasn't a bad thing necessarily. It's just that like when I looked at that plus all the other things coming out around it. I was like that $60 just ended up going somewhere else now technically now, I think I could probably end up picking up on like a really good deal or something, but then that's still like money that I'd have to put towards that instead of something.	-1.0
Okay, it's not as though I don't know. We don't know what the gender is.	1.0
Away from social media is a rose is a rose fight. It's a rough day.	-1.0
I get I mean I can't even imagine but I'd be amount of clothes. My fucking toddler has it it blows your mind. It will blow your mind and I don't understand my wife when she folds close, but she never does anymore.	-1.0
Yeah.	1.0
Incredibly expensive and Incredibly time-consuming Sterling realized this was a huge pain point for retailers. They want to be able to offer the convenience of an app to their most loyal customers, but customized apps were too costly for most retailers.	-1.0
Did you ever in the early days when cuz imagine that was even more difficult in the early days when you're still learning how to actually talk about it and educate did you ever think about quitting or no stopping what you're doing and changing into something different.	-1.0
Um, well, yeah, so we haven't bought any any Bulls right right this minute that are that are really fancy. I mean, I got some calves that I bought from a guy that from ask from a neighbor that are look really good with the dummy and and have got a couple Rider trips on that look like they might Might be really good but I don't want to brag on them yet because they just pretty green. But what are those who you lines? Sorry. What are they two year olds? And you said they had a couple of ridership for the three year olds their fields? And and then then I have I do have a horse coming on a young horse that I call white-hot. He is a solid white horse and he's actually out of that gray mare we were talking about earlier. While Blue well, I got has only had a couple of Rider trips on him, but he won second at Bob Marriott's dirty rotten buckers bucking horse fraternity last summer he one second. I think it was in the bareback ride. Anyway, he looks pretty good. I think that horse he'll be he'll he'll be 5 this year so he got a little more age on him and then some of them because he was just a little bit of a late bloomer, but he bucks pretty Dang good and and I saw I think that that'll be a up-and-coming star for us this summer moving forward in and there's a there's a couple of other Colts that are that are coming on. I mentioned that Indian burn in that Indian summer line of horses. There's a little brother to Indian burn coming out and he's a a sista numbers 505. He's just a, you know going to be a four year old black yelling and he box Really good. He didn't even have a name yet. I need to come up with a name for it.	1.0
I don't have to take advice from this phone because I keep my news locked up in a folder like this is what I'm telling you. What advice would you take my I love the advice from this episode is like take the news. Do you like true just like empowers powered for yourself take them in just like	1.0
It was the yellow it was hurting. My eyes was too much. Yeah Valentina she did. Kind of like a Miss Venezuela Barbie thing where she's got like a Miss Venezuela Sash and a crown on it was funny because Michelle read her thoughts a group, right?	-1.0
He's like all three of you and I was like, well, I can't do it because I'm not in town but every it'd been looking for like ever like I don't really know exactly what Rick he's like how long work has been looking for but like I got fired like like beginning of this school year and I've been looking like ever since yeah and like stop looking like about like a week ago really and like it was just kind of funny how like I stopped looking and then boom right there.	1.0
We got married in Miami, but we met in San Francisco.	1.0
We don't want to say retired because I feel like that's shuts the door. Yeah. I don't want to be finished dancing. Like that's not a thing for me. I don't want to finish my career in that. I feel like you never know what happens again. Like you have to trust the process and let's say you have like a great. Petition in the back of your hand just like hmm. Maybe I can compete next weekend or something that you know, like why you're staying with your Technique you want to make sure that you're ready ready for anything and maybe I don't want to compete necessarily but I definitely want to continue doing shows with Basha because I do love dancing with him and retiring means I don't get to dance with him anymore, you know, so I don't want to think of it like that and I want to think of it just I'm trying something new. I'm still the same dancer. I just have a new audience. That's it. You know, I don't want to finish it.	1.0
Welcome everybody to another episode of bucking stock news podcast powered by two Bulls performance feeds Thor this this episode may be a little different kind of interested talk a little bucking horses.	0.0
I don't think so. I mean you've talked about how much you've grown in four years. And I mean you obviously know the area well, so I think it's you know with as you say the industry is growing and changing and more agents are believing in staging the benefits. So yeah great great vision, I guess to set yourself.	1.0
Oh my God, I had it is so my kids because we run out of live action movies. Yeah, but my kids have seen. So many movies they've seen every Marvel movie how many of your is 3:1 sort of saying once you get past the animated shit, it's a slippery slope and suddenly you're like what am I going to show them and that's a pretty safe movie to show him. It's unbelievably slippery slope though.	1.0
I'd probably Fletcher in a faux be so sad be back like laughing. Like Tom said I think you just did he did he did play?	0.0
It's your host Bridget and Caitlin here to talk about your favorite topic our favorite towel thick Disney Channel shows / movies. And today we're going to talk about classic Hannah Montana, of course, so we actually picked basically we were thinking the we're going to start this out as for TV shows will. Two episodes of a TV show and then if we do a movie we'll just just do the movie. So we picked two episodes. The first one is season 1 episode 2 Miley get your gum. And the second one is season 2 episode 20. I will always load you alright.	1.0
Yeah. Well, I'm going to say this I take back everything I said if Ali likes it I must be saying it wrong. Next up is Mona and I will accept that Ali is right and I am I love that we have to that's what makes this conversation. So interesting. You know, I love it. I'm sitting in the middle of all of it.	1.0
I always think it's interesting to and you know, this is who Derek is also choosing to help, you know, creative direct to show Again, similar type of leadership quality so I've got to imagine like working underneath that tons of great Showbiz lessons right there for sure.	1.0
You don't share a lot of experiences and you know. Just enjoy we both both my cousin's we literally can just be in bed. Chill together eat good food. Have a good workout and just do the simple things in life. And it really doesn't matter what we do when I'm with them. It's just as long as we're together and I think that's the beauty of it is. It's very low maintenance, you know, just as long as we have each other we find gratitude in that and it's always a good time, you know, but with you know, Richard Nico both of them, you know, they Have they're like my best friend's, you know, they've been my best friends ever since I was younger and you know, keep it real with you guys, you know, as you get older things change feelings change people change. There's a lot of movement in life. And sometimes you forget about the people that helped you get to where you are and I think for me by my you know, the blessing my mom. She had told me a couple weeks ago that because it's miss me and and I wanted Create consistency and effort and shows them that I miss them too. And I know it's been hard and I know it's hasn't been things. Haven't been the same. So it's kind of like having that body bit about bodybuilding mentality, like whatever your weak points are in a relationship like focus on those like all the people in Sacramento. Like I see them consistently. I see my baby girl Cindy all the time. I see Kev, you know weekly, you know, it's about maybe investing time in to the people that you don't see a whole lot like I don't see my sister's a whole lot. My nephew's a whole lot my cousins a whole lot. So I think this year I definitely want to have a better goal of strengthening the relationship those types of relationships.	1.0
I don't then I will destroy you it doesn't it a whole day. I've my feet covered. What is your hope?	-1.0
So some kind of a disinfectant liquid can go in there lastly remove any bathroom rugs and sweep the bathroom floor and dustpan it and then either mop the floor or maybe wipe it by hand with a disinfecting wipe.	0.0
How about socks? Oh my God. Fuck.	-1.0
Yeah, exactly and I mean conditions aside because it wasn't the best day.	-1.0
I'm trying to think of the right word a chaperone Debra come like a parental guidance that way but wouldn't this is one of your parents are chaperoning.	1.0
It's like if I have on	0.0
I don't just really 42nd. I'll be forced to yeah, I think I think Kris world has settled it for the drawer there. Anyway, I mean they were	-1.0
So it was so destroyed. It was just like link like we don't like like Three like I don't care about link like I don't you skipped a generation. But yeah, that's one joint where I was just and I have a good feeling about you.	-1.0
You got a couple couple points here. Is there any any Young Horses you're going to crack out or many bulls. You just bought your kind of excited about.	1.0
That's what you're saying.	0.0
I wear Target Target. I'm Harper Massimo baby Monster Miss Willis.	0.0
You will I promise that like just take it from my experience and man you get to this place where it's just like man. It's crazy. It's crazy. And I found this by accident like I've never been like man, I want to love myself. I never even knew what that meant. But like I've realized lately. Oh my gosh, this is what self-love is. So I can't wait for you guys to do this vibrational work like once you once you raise your vibration consistently all the good things start to come. Until you're just overwhelmed with this positive momentum. Because because of the Law of Attraction you're either going more and more towards negative or more and more in the positive direction. You're going one way or the other this train is going one way or the other. so Thank you for listening. In a few weeks. I should be have my online free online Academy up. It's it's just a video course with me talking about everything. I know about vibrations everything that I taught here in Moore from A to Z in a comprehensible way lesson. The lesson lesson I break down every concept video by video and You will be able to learn just everything just about everything that I know and they're in a very organized way. So you're able to put together the pieces and raise your vibration yourself. So, thank you.	1.0
